2026-08-05 11:01:12 | === Daily refresh job start (IST date 2026-08-05) ===
2026-08-05 11:01:12 | Reset complete (500 rows cleared). Loading full universe for 2026-08-05…
2026-08-05 12:10:46 | [41] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 76.1s. Verified now 64/500 (missing 436). ETA ~46 min. Overall complete 64/500.
2026-08-05 12:11:58 | [42] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 71.7s. Verified now 64/500 (missing 436). ETA ~43 min. Overall complete 64/500.
2026-08-05 12:13:15 | [43] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 75.6s. Verified now 64/500 (missing 436). ETA ~46 min. Overall complete 64/500.
2026-08-05 12:14:27 | [44] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 72.1s. Verified now 64/500 (missing 436). ETA ~44 min. Overall complete 64/500.
2026-08-05 12:16:06 | [45] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 97.4s. Verified now 64/500 (missing 436). ETA ~59 min. Overall complete 64/500.
2026-08-05 12:17:32 | [46] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 86.1s. Verified now 64/500 (missing 436). ETA ~52 min. Overall complete 64/500.
2026-08-05 12:19:24 | [47] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 110.9s. Verified now 64/500 (missing 436). ETA ~67 min. Overall complete 64/500.
2026-08-05 12:21:12 | [48] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 107.2s. Verified now 64/500 (missing 436). ETA ~65 min. Overall complete 64/500.
2026-08-05 12:23:00 | [49] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 107.1s. Verified now 64/500 (missing 436). ETA ~65 min. Overall complete 64/500.
2026-08-05 12:24:45 | [50] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 104.5s. Verified now 64/500 (missing 436). ETA ~63 min. Overall complete 64/500.
2026-08-05 12:26:44 | [51] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 118.4s. Verified now 64/500 (missing 436). ETA ~72 min. Overall complete 64/500.
2026-08-05 12:28:33 | [52] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 108.1s. Verified now 64/500 (missing 436). ETA ~66 min. Overall complete 64/500.
2026-08-05 12:30:23 | [53] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 109.3s. Verified now 64/500 (missing 436). ETA ~66 min. Overall complete 64/500.
2026-08-05 12:32:17 | [54] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 112.8s. Verified now 64/500 (missing 436). ETA ~68 min. Overall complete 64/500.
2026-08-05 12:34:08 | [55] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 110.7s. Verified now 64/500 (missing 436). ETA ~67 min. Overall complete 64/500.
2026-08-05 12:35:54 | [56] phase=fundamentals complete=0/500 prices=12 fund=0 tech=12 | Fundamentals batch: filled 12/12 in 105.0s. Verified now 0/12 (missing 12). ETA ~2 min. Overall complete 0/500.
2026-08-05 12:40:29 | [57] phase=prices complete=12/500 prices=500 fund=12 tech=500 | Live Nifty refresh in 274.8s — LTP 500/500 (Groww/MC/Yahoo), OHLCV tech 500, saved 500, table showing 12.
2026-08-05 12:42:06 | [58] phase=fundamentals complete=21/500 prices=500 fund=21 tech=500 | Fundamentals batch: filled 12/12 in 95.4s. Verified now 21/500 (missing 479). ETA ~63 min. Overall complete 21/500.
2026-08-05 12:43:42 | [59] phase=fundamentals complete=29/500 prices=500 fund=29 tech=500 | Fundamentals batch: filled 12/12 in 96.2s. Verified now 29/500 (missing 471). ETA ~63 min. Overall complete 29/500.
2026-08-05 12:45:39 | [60] phase=fundamentals complete=36/500 prices=500 fund=36 tech=500 | Fundamentals batch: filled 12/12 in 115.6s. Verified now 36/500 (missing 464). ETA ~74 min. Overall complete 36/500.
2026-08-05 12:47:40 | [61] phase=fundamentals complete=43/500 prices=500 fund=43 tech=500 | Fundamentals batch: filled 12/12 in 120.8s. Verified now 43/500 (missing 457). ETA ~77 min. Overall complete 43/500.
2026-08-05 12:49:26 | [62] phase=fundamentals complete=48/500 prices=500 fund=48 tech=500 | Fundamentals batch: filled 12/12 in 105.2s. Verified now 48/500 (missing 452). ETA ~66 min. Overall complete 48/500.
2026-08-05 12:51:23 | [63] phase=fundamentals complete=52/500 prices=500 fund=52 tech=500 | Fundamentals batch: filled 12/12 in 116.0s. Verified now 52/500 (missing 448). ETA ~72 min. Overall complete 52/500.
2026-08-05 12:53:23 | [64] phase=fundamentals complete=55/500 prices=500 fund=55 tech=500 | Fundamentals batch: filled 12/12 in 119.5s. Verified now 55/500 (missing 445). ETA ~74 min. Overall complete 55/500.
2026-08-05 12:55:23 | [65] phase=fundamentals complete=57/500 prices=500 fund=57 tech=500 | Fundamentals batch: filled 12/12 in 119.2s. Verified now 57/500 (missing 443). ETA ~73 min. Overall complete 57/500.
2026-08-05 12:57:22 | [66] phase=fundamentals complete=58/500 prices=500 fund=58 tech=500 | Fundamentals batch: filled 12/12 in 117.6s. Verified now 58/500 (missing 442). ETA ~72 min. Overall complete 58/500.
2026-08-05 12:59:21 | [67] phase=fundamentals complete=59/500 prices=500 fund=59 tech=500 | Fundamentals batch: filled 12/12 in 118.0s. Verified now 59/500 (missing 441). ETA ~72 min. Overall complete 59/500.
2026-08-05 13:01:20 | [68] phase=fundamentals complete=60/500 prices=500 fund=60 tech=500 | Fundamentals batch: filled 12/12 in 118.8s. Verified now 60/500 (missing 440). ETA ~73 min. Overall complete 60/500.
2026-08-05 13:03:14 | [69] phase=fundamentals complete=7/500 prices=19 fund=7 tech=19 | Fundamentals batch: filled 12/12 in 113.0s. Verified now 7/19 (missing 12). ETA ~2 min. Overall complete 7/500.
2026-08-05 13:07:55 | [70] phase=prices complete=19/500 prices=500 fund=19 tech=500 | Live Nifty refresh in 280.2s — LTP 500/500 (Groww/MC/Yahoo), OHLCV tech 500, saved 500, table showing 19.
2026-08-05 13:10:03 | [71] phase=fundamentals complete=26/500 prices=500 fund=26 tech=500 | Fundamentals batch: filled 12/12 in 127.5s. Verified now 26/501 (missing 475). ETA ~84 min. Overall complete 26/500.
2026-08-05 13:12:02 | [72] phase=fundamentals complete=34/500 prices=500 fund=34 tech=500 | Fundamentals batch: filled 12/12 in 118.2s. Verified now 34/501 (missing 467). ETA ~77 min. Overall complete 34/500.
2026-08-05 13:14:09 | [73] phase=fundamentals complete=42/500 prices=500 fund=42 tech=500 | Fundamentals batch: filled 12/12 in 126.1s. Verified now 42/501 (missing 459). ETA ~80 min. Overall complete 42/500.
2026-08-05 13:16:15 | [74] phase=fundamentals complete=49/500 prices=500 fund=49 tech=500 | Fundamentals batch: filled 12/12 in 124.9s. Verified now 49/501 (missing 452). ETA ~78 min. Overall complete 49/500.
2026-08-05 13:18:08 | [75] phase=fundamentals complete=54/500 prices=500 fund=54 tech=500 | Fundamentals batch: filled 12/12 in 112.6s. Verified now 54/501 (missing 447). ETA ~70 min. Overall complete 54/500.
2026-08-05 13:20:10 | [76] phase=fundamentals complete=58/500 prices=500 fund=58 tech=500 | Fundamentals batch: filled 12/12 in 121.1s. Verified now 58/501 (missing 443). ETA ~75 min. Overall complete 58/500.
2026-08-05 13:22:13 | [77] phase=fundamentals complete=61/500 prices=500 fund=61 tech=500 | Fundamentals batch: filled 12/12 in 122.0s. Verified now 61/501 (missing 440). ETA ~75 min. Overall complete 61/500.
2026-08-05 13:24:11 | [78] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 117.6s. Verified now 64/501 (missing 437). ETA ~71 min. Overall complete 64/500.
2026-08-05 13:26:28 | [79] phase=fundamentals complete=65/500 prices=500 fund=65 tech=500 | Fundamentals batch: filled 12/12 in 136.2s. Verified now 65/501 (missing 436). ETA ~82 min. Overall complete 65/500.
2026-08-05 13:28:25 | [80] phase=fundamentals complete=66/500 prices=500 fund=66 tech=500 | Fundamentals batch: filled 12/12 in 115.9s. Verified now 66/501 (missing 435). ETA ~70 min. Overall complete 66/500.
2026-08-05 13:30:30 | [81] phase=fundamentals complete=67/500 prices=500 fund=67 tech=500 | Fundamentals batch: filled 12/12 in 124.3s. Verified now 67/501 (missing 434). ETA ~75 min. Overall complete 67/500.
2026-08-05 13:32:29 | [82] phase=fundamentals complete=68/500 prices=500 fund=68 tech=500 | Fundamentals batch: filled 12/12 in 118.0s. Verified now 68/501 (missing 433). ETA ~71 min. Overall complete 68/500.
2026-08-05 13:33:58 | [83] phase=fundamentals complete=69/500 prices=500 fund=69 tech=500 | Fundamentals batch: filled 12/12 in 88.8s. Verified now 69/501 (missing 432). ETA ~53 min. Overall complete 69/500.
2026-08-05 13:35:21 | [84] phase=fundamentals complete=70/500 prices=500 fund=70 tech=500 | Fundamentals batch: filled 12/12 in 82.0s. Verified now 70/501 (missing 431). ETA ~49 min. Overall complete 70/500.
2026-08-05 13:36:44 | [85] phase=fundamentals complete=70/500 prices=500 fund=70 tech=500 | Fundamentals batch: filled 12/12 in 81.9s. Verified now 70/501 (missing 431). ETA ~49 min. Overall complete 70/500.
2026-08-05 13:38:01 | [86] phase=fundamentals complete=70/500 prices=500 fund=70 tech=500 | Fundamentals batch: filled 12/12 in 76.7s. Verified now 70/501 (missing 431). ETA ~46 min. Overall complete 70/500.
2026-08-05 13:39:25 | [87] phase=fundamentals complete=70/500 prices=500 fund=70 tech=500 | Fundamentals batch: filled 12/12 in 83.4s. Verified now 70/501 (missing 431). ETA ~50 min. Overall complete 70/500.
2026-08-05 13:40:50 | [88] phase=fundamentals complete=73/500 prices=500 fund=73 tech=500 | Fundamentals batch: filled 12/12 in 83.9s. Verified now 73/501 (missing 428). ETA ~50 min. Overall complete 73/500.
2026-08-05 13:42:16 | [89] phase=fundamentals complete=73/500 prices=500 fund=73 tech=500 | Fundamentals batch: filled 12/12 in 85.6s. Verified now 73/501 (missing 428). ETA ~51 min. Overall complete 73/500.
2026-08-05 13:43:43 | [90] phase=fundamentals complete=76/500 prices=500 fund=76 tech=500 | Fundamentals batch: filled 12/12 in 85.8s. Verified now 76/501 (missing 425). ETA ~51 min. Overall complete 76/500.
2026-08-05 13:45:05 | [91] phase=fundamentals complete=76/500 prices=500 fund=76 tech=500 | Fundamentals batch: filled 12/12 in 81.2s. Verified now 76/501 (missing 425). ETA ~48 min. Overall complete 76/500.
2026-08-05 13:47:05 | [92] phase=fundamentals complete=80/500 prices=500 fund=80 tech=500 | Fundamentals batch: filled 12/12 in 119.8s. Verified now 80/501 (missing 421). ETA ~70 min. Overall complete 80/500.
2026-08-05 13:49:11 | [93] phase=fundamentals complete=80/500 prices=500 fund=80 tech=500 | Fundamentals batch: filled 12/12 in 124.7s. Verified now 80/501 (missing 421). ETA ~73 min. Overall complete 80/500.
2026-08-05 13:51:15 | [94] phase=fundamentals complete=83/500 prices=500 fund=83 tech=500 | Fundamentals batch: filled 12/12 in 123.8s. Verified now 83/501 (missing 418). ETA ~72 min. Overall complete 83/500.
2026-08-05 13:53:20 | [95] phase=fundamentals complete=85/500 prices=500 fund=85 tech=500 | Fundamentals batch: filled 12/12 in 124.4s. Verified now 85/501 (missing 416). ETA ~72 min. Overall complete 85/500.
2026-08-05 13:55:19 | [96] phase=fundamentals complete=85/500 prices=500 fund=85 tech=500 | Fundamentals batch: filled 12/12 in 118.4s. Verified now 85/501 (missing 416). ETA ~68 min. Overall complete 85/500.
2026-08-05 13:57:25 | [97] phase=fundamentals complete=90/500 prices=500 fund=90 tech=500 | Fundamentals batch: filled 12/12 in 124.6s. Verified now 90/501 (missing 411). ETA ~71 min. Overall complete 90/500.
2026-08-05 13:59:25 | [98] phase=fundamentals complete=90/500 prices=500 fund=90 tech=500 | Fundamentals batch: filled 12/12 in 119.9s. Verified now 90/501 (missing 411). ETA ~68 min. Overall complete 90/500.
2026-08-05 14:01:27 | [99] phase=fundamentals complete=96/500 prices=500 fund=96 tech=500 | Fundamentals batch: filled 12/12 in 121.4s. Verified now 96/501 (missing 405). ETA ~68 min. Overall complete 96/500.
2026-08-05 14:03:31 | [100] phase=fundamentals complete=96/500 prices=500 fund=96 tech=500 | Fundamentals batch: filled 12/12 in 123.4s. Verified now 96/501 (missing 405). ETA ~69 min. Overall complete 96/500.
2026-08-05 14:05:33 | [101] phase=fundamentals complete=98/500 prices=500 fund=98 tech=500 | Fundamentals batch: filled 12/12 in 120.6s. Verified now 98/501 (missing 403). ETA ~68 min. Overall complete 98/500.
2026-08-05 14:07:24 | [102] phase=fundamentals complete=98/500 prices=500 fund=98 tech=500 | Fundamentals batch: filled 12/12 in 110.8s. Verified now 98/501 (missing 403). ETA ~62 min. Overall complete 98/500.
2026-08-05 14:09:05 | [103] phase=fundamentals complete=100/500 prices=500 fund=100 tech=500 | Fundamentals batch: filled 12/12 in 99.9s. Verified now 100/501 (missing 401). ETA ~56 min. Overall complete 100/500.
2026-08-05 14:11:11 | [104] phase=fundamentals complete=100/500 prices=500 fund=100 tech=500 | Fundamentals batch: filled 12/12 in 125.7s. Verified now 100/501 (missing 401). ETA ~70 min. Overall complete 100/500.
2026-08-05 14:13:13 | [105] phase=fundamentals complete=106/500 prices=500 fund=106 tech=500 | Fundamentals batch: filled 12/12 in 121.5s. Verified now 106/501 (missing 395). ETA ~67 min. Overall complete 106/500.
2026-08-05 14:15:17 | [106] phase=fundamentals complete=107/500 prices=500 fund=107 tech=500 | Fundamentals batch: filled 12/12 in 123.0s. Verified now 107/501 (missing 394). ETA ~67 min. Overall complete 107/500.
2026-08-05 14:17:22 | [107] phase=fundamentals complete=107/500 prices=500 fund=107 tech=500 | Fundamentals batch: filled 12/12 in 124.1s. Verified now 107/501 (missing 394). ETA ~68 min. Overall complete 107/500.
2026-08-05 14:19:20 | [108] phase=fundamentals complete=108/500 prices=500 fund=108 tech=500 | Fundamentals batch: filled 12/12 in 117.8s. Verified now 108/501 (missing 393). ETA ~64 min. Overall complete 108/500.
2026-08-05 14:20:59 | [109] phase=fundamentals complete=108/500 prices=500 fund=108 tech=500 | Fundamentals batch: filled 12/12 in 97.4s. Verified now 108/501 (missing 393). ETA ~53 min. Overall complete 108/500.
2026-08-05 14:23:03 | [110] phase=fundamentals complete=113/500 prices=500 fund=113 tech=500 | Fundamentals batch: filled 12/12 in 124.2s. Verified now 113/501 (missing 388). ETA ~67 min. Overall complete 113/500.
2026-08-05 14:25:04 | [111] phase=fundamentals complete=113/500 prices=500 fund=113 tech=500 | Fundamentals batch: filled 12/12 in 120.1s. Verified now 113/501 (missing 388). ETA ~65 min. Overall complete 113/500.
2026-08-05 14:27:08 | [112] phase=fundamentals complete=115/500 prices=500 fund=115 tech=500 | Fundamentals batch: filled 12/12 in 123.2s. Verified now 115/501 (missing 386). ETA ~66 min. Overall complete 115/500.
2026-08-05 14:29:08 | [113] phase=fundamentals complete=115/500 prices=500 fund=115 tech=500 | Fundamentals batch: filled 12/12 in 118.6s. Verified now 115/501 (missing 386). ETA ~64 min. Overall complete 115/500.
2026-08-05 14:31:21 | [114] phase=fundamentals complete=116/500 prices=500 fund=116 tech=500 | Fundamentals batch: filled 12/12 in 132.7s. Verified now 116/501 (missing 385). ETA ~71 min. Overall complete 116/500.
2026-08-05 14:33:26 | [115] phase=fundamentals complete=116/500 prices=500 fund=116 tech=500 | Fundamentals batch: filled 12/12 in 124.7s. Verified now 116/501 (missing 385). ETA ~67 min. Overall complete 116/500.
2026-08-05 14:35:28 | [116] phase=fundamentals complete=124/500 prices=500 fund=124 tech=500 | Fundamentals batch: filled 12/12 in 120.9s. Verified now 124/501 (missing 377). ETA ~63 min. Overall complete 124/500.
2026-08-05 14:37:27 | [117] phase=fundamentals complete=124/500 prices=500 fund=124 tech=500 | Fundamentals batch: filled 12/12 in 118.1s. Verified now 124/501 (missing 377). ETA ~62 min. Overall complete 124/500.
2026-08-05 14:39:31 | [118] phase=fundamentals complete=127/500 prices=500 fund=127 tech=500 | Fundamentals batch: filled 12/12 in 123.3s. Verified now 127/501 (missing 374). ETA ~64 min. Overall complete 127/500.
2026-08-05 14:41:35 | [119] phase=fundamentals complete=127/500 prices=500 fund=127 tech=500 | Fundamentals batch: filled 12/12 in 123.7s. Verified now 127/501 (missing 374). ETA ~64 min. Overall complete 127/500.
2026-08-05 14:43:37 | [120] phase=fundamentals complete=127/500 prices=500 fund=127 tech=500 | Fundamentals batch: filled 12/12 in 121.6s. Verified now 127/501 (missing 374). ETA ~63 min. Overall complete 127/500.
2026-08-05 14:45:40 | [121] phase=fundamentals complete=127/500 prices=500 fund=127 tech=500 | Fundamentals batch: filled 12/12 in 122.5s. Verified now 127/501 (missing 374). ETA ~64 min. Overall complete 127/500.
2026-08-05 14:47:47 | [122] phase=fundamentals complete=134/500 prices=500 fund=134 tech=500 | Fundamentals batch: filled 12/12 in 125.9s. Verified now 134/501 (missing 367). ETA ~64 min. Overall complete 134/500.
2026-08-05 14:49:43 | [123] phase=fundamentals complete=139/500 prices=500 fund=139 tech=500 | Fundamentals batch: filled 12/12 in 114.9s. Verified now 139/501 (missing 362). ETA ~58 min. Overall complete 139/500.
2026-08-05 14:51:33 | [124] phase=fundamentals complete=139/500 prices=500 fund=139 tech=500 | Fundamentals batch: filled 12/12 in 109.8s. Verified now 139/501 (missing 362). ETA ~55 min. Overall complete 139/500.
2026-08-05 14:53:38 | [125] phase=fundamentals complete=141/500 prices=500 fund=141 tech=500 | Fundamentals batch: filled 12/12 in 124.6s. Verified now 141/501 (missing 360). ETA ~62 min. Overall complete 141/500.
2026-08-05 14:55:23 | [126] phase=fundamentals complete=141/500 prices=500 fund=141 tech=500 | Fundamentals batch: filled 12/12 in 103.9s. Verified now 141/501 (missing 360). ETA ~52 min. Overall complete 141/500.
2026-08-05 14:57:24 | [127] phase=fundamentals complete=147/500 prices=500 fund=147 tech=500 | Fundamentals batch: filled 12/12 in 120.5s. Verified now 147/501 (missing 354). ETA ~59 min. Overall complete 147/500.
2026-08-05 14:59:29 | [128] phase=fundamentals complete=147/500 prices=500 fund=147 tech=500 | Fundamentals batch: filled 12/12 in 124.1s. Verified now 147/501 (missing 354). ETA ~61 min. Overall complete 147/500.
2026-08-05 15:01:09 | [129] phase=fundamentals complete=149/500 prices=500 fund=149 tech=500 | Fundamentals batch: filled 12/12 in 99.4s. Verified now 149/501 (missing 352). ETA ~49 min. Overall complete 149/500.
